session_id,Количество объектов в кадре,Время
198582,0,08.11.20--17-56-08
198582,0,08.11.20--17-56-08
198582,1,08.11.20--17-56-08
198582,0,08.11.20--17-56-14
198582,0,08.11.20--17-56-14
198582,0,08.11.20--17-56-14
198582,0,08.11.20--17-56-14
198582,1,08.11.20--17-56-15
198582,0,08.11.20--17-56-20
198582,0,08.11.20--17-56-20
198582,0,08.11.20--17-56-20
198582,0,08.11.20--17-56-21
198582,0,08.11.20--17-56-21
198582,0,08.11.20--17-56-21
198582,0,08.11.20--17-56-21
198582,0,08.11.20--17-56-22
198582,0,08.11.20--17-56-22
198582,0,08.11.20--17-56-22
198582,0,08.11.20--17-56-22
198582,0,08.11.20--17-56-22
198582,0,08.11.20--17-56-23
198582,0,08.11.20--17-56-23
198582,1,08.11.20--17-56-23
198582,0,08.11.20--17-56-28
198582,0,08.11.20--17-56-29
198582,0,08.11.20--17-56-29
198582,0,08.11.20--17-56-29
198582,0,08.11.20--17-56-29
198582,1,08.11.20--17-56-30
198582,1,08.11.20--17-56-35
198582,0,08.11.20--17-56-40
198582,0,08.11.20--17-56-40
198582,0,08.11.20--17-56-41
198582,0,08.11.20--17-56-41
198582,0,08.11.20--17-56-41
198582,0,08.11.20--17-56-41
198582,0,08.11.20--17-56-42
198582,0,08.11.20--17-56-42
198582,0,08.11.20--17-56-42
198582,0,08.11.20--17-56-42
198582,0,08.11.20--17-56-42
198582,0,08.11.20--17-56-43
198582,0,08.11.20--17-56-43
198582,0,08.11.20--17-56-43
198582,0,08.11.20--17-56-43
198582,0,08.11.20--17-56-44
198582,0,08.11.20--17-56-44
198582,0,08.11.20--17-56-44
198582,0,08.11.20--17-56-44
198582,0,08.11.20--17-56-45
198582,1,08.11.20--17-56-45
62177,0,08.11.20--18-00-13
62177,0,08.11.20--18-00-13
62177,0,08.11.20--18-00-14
62177,1,08.11.20--18-00-14
62177,1,08.11.20--18-00-19
62177,1,08.11.20--18-00-24
62177,1,08.11.20--18-00-30
62177,1,08.11.20--18-00-35
62177,1,08.11.20--18-00-40
62177,0,08.11.20--18-00-46
62177,1,08.11.20--18-00-46
62177,1,08.11.20--18-00-51
